file,selector,line,type
src\layout\_navbar.scss,":root .Root__nav-bar {",6,root-container (left-sidebar)
src\layout\_right_sidebar.scss,"div.Root__right-sidebar[data-testid=""right-sidebar""] {",1,root-container (right-sidebar)
src\layout\_sn_right_sidebar_consciousness.scss,"div.Root__right-sidebar[data-testid=""right-sidebar""] {",96,root-container (right-sidebar)
src\layout\_sn_right_sidebar_consciousness.scss,"div.Root__right-sidebar[data-testid=""right-sidebar""] {",118,root-container (right-sidebar)
src\layout\_sn_right_sidebar_consciousness.scss,"div.Root__right-sidebar[data-testid=""right-sidebar""] {",129,root-container (right-sidebar)
src\layout\_sn_right_sidebar_consciousness.scss,"div.Root__right-sidebar[data-testid=""right-sidebar""] {",191,root-container (right-sidebar)
src\layout\_sn_scroll_node_backgrounds.scss,".Root__main-view .main-view-container__scroll-node {",12,root-container (main-view)
src\layout\_sn_sidebar_navigation.scss,"div[data-testid=""Desktop_LeftSidebar_Id""].Root__nav-bar {",12,root-container (left-sidebar)
src\layout\_sn_sidebar_navigation.scss,".Root__nav-bar {",128,root-container (left-sidebar)
src\layout\_sn_sidebar_navigation.scss,".Root__nav-bar {",149,root-container (left-sidebar)
src\components\_now_playing.scss,":root .Root__now-playing-bar {",7,root-container (now-playing-bar)
src\components\_sn_loading.scss,".Root__right-sidebar {",422,root-container (right-sidebar)
src\features\_sn_atmospheric.scss,".Root__now-playing-bar {",395,root-container (now-playing-bar)
src\features\_sn_atmospheric.scss,".Root__now-playing-bar {",493,root-container (now-playing-bar)
src\features\_sn_atmospheric.scss,".Root__now-playing-bar {",705,root-container (now-playing-bar)
src\features\_sn_context_zones.scss,".Root__main-view {",130,root-container (main-view)
src\features\_sn_context_zones.scss,"body:has([data-testid*=""playlist""]) .Root__main-view {",136,root-container (main-view)
src\features\_sn_context_zones.scss,"body:has([data-testid*=""artist""]) .Root__main-view {",141,root-container (main-view)
src\features\_sn_context_zones.scss,"body:has([data-testid*=""album""]) .Root__main-view {",146,root-container (main-view)
src\features\_sn_context_zones.scss,"body:has([data-testid*=""search""]) .Root__main-view {",152,root-container (main-view)
src\features\_sn_context_zones.scss,"body:has([data-testid*=""liked"" i]) .Root__main-view {",158,root-container (main-view)
src\features\_sn_context_zones.scss,".Root__nav-bar {",265,root-container (left-sidebar)
src\features\_sn_context_zones.scss,".Root__right-sidebar {",288,root-container (right-sidebar)
src\features\_sn_context_zones.scss,".Root__right-sidebar {",355,root-container (right-sidebar)
src\features\_sn_depth_layers.scss,".Root__main-view .main-view-container__scroll-node {",42,root-container (main-view)
src\features\_sn_glassmorphism.scss,".Root__nav-bar {",75,root-container (left-sidebar)
src\features\_sn_glassmorphism.scss,".Root__now-playing-bar {",133,root-container (now-playing-bar)
src\features\_sn_glassmorphism.scss,"div.Root__right-sidebar[data-testid=""right-sidebar""] {",269,root-container (right-sidebar)
src\features\_sn_glassmorphism.scss,".Root__right-sidebar {",346,root-container (right-sidebar)
src\features\_sn_glassmorphism.scss,".Root__now-playing-bar {",410,root-container (now-playing-bar)
src\features\_sn_glassmorphism.scss,".Root__nav-bar {",421,root-container (left-sidebar)
src\features\_sn_glassmorphism.scss,".Root__now-playing-bar::before {",426,root-container (now-playing-bar)
src\features\_sn_z_index_management.scss,".Root__main-view {",21,root-container (main-view)
src\features\_sn_z_index_management.scss,"// .Root__main-view .main-view-container__scroll-node {",39,root-container (main-view)
src\features\_themed_interactive_components.scss,".Root__now-playing-bar {",294,root-container (now-playing-bar)
src\sidebar\_sidebar_background_effects.scss,".Root__nav-bar {",81,root-container (left-sidebar)
src\sidebar\_sidebar_background_effects.scss,".Root__nav-bar {",400,root-container (left-sidebar)
src\sidebar\_sidebar_background_effects.scss,"div[data-testid=""Desktop_LeftSidebar_Id""].Root__nav-bar {",422,root-container (left-sidebar)
src\sidebar\_sidebar_background_effects.scss,"div[data-testid=""Desktop_LeftSidebar_Id""].Root__nav-bar {",532,root-container (left-sidebar)
src\sidebar\_sidebar_background_effects.scss,"nav[aria-label=""Main""] ul li a {",559,sub-container (repeat)
src\sidebar\_sidebar_background_effects.scss,".Root__nav-bar {",580,root-container (left-sidebar)
src\sidebar\_sidebar_background_effects.scss,".Root__nav-bar {",622,root-container (left-sidebar)
src\sidebar\_sidebar_background_effects.scss,".Root__nav-bar {",740,root-container (left-sidebar)
src\sidebar\_sidebar_interactive.scss,"div[data-testid=""Desktop_LeftSidebar_Id""].Root__nav-bar {",59,root-container (left-sidebar)
src\sidebar\_sidebar_interactive.scss,"div[data-testid=""Desktop_LeftSidebar_Id""].Root__nav-bar {",157,root-container (left-sidebar)
src\sidebar\_sidebar_interactive.scss,"nav[aria-label=""Main""] ul li a {",196,sub-container (repeat)
src\sidebar\_sidebar_interactive.scss,".Root__nav-bar {",218,root-container (left-sidebar)
src\sidebar\_sidebar_interactive.scss,".Root__nav-bar {",309,root-container (left-sidebar)
src\sidebar\_sidebar_interactive.scss,".Root__nav-bar {",573,root-container (left-sidebar)